	Addendum J for CY2025 evaluation statistics for complexity adjustments of combinations of comprehensive HCPCS codes												
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	10140	I&d hmtma seroma/fluid collj	J1	5072	5073	6	"3,411.57"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	5073	"1,110"	"3,892.02"	11422	"2,685.26"	Y
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	11047	Dbrdmt bone each addl	N	 	5073	"1,779"	"2,337.28"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	5073	1	"7,006.62"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	5073	1	"1,472.89"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	15853	Removal sutr/stapl xreq anes	N	 	5073	1	634.15	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	20220	Bone biopsy trocar/ndl supfc	J1	5072	5073	29	"3,162.93"	11422	"2,685.26"	Y
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	20700	Mnl prep&insj dp rx dlvr dev	N	 	5073	26	"5,714.61"	11422	"2,685.26"	Y
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	20701	Rmvl deep rx delivery device	N	 	5073	7	"3,914.31"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	21073	Mnpj of tmj w/anesth	J1	5163	5073	1	"7,635.07"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	21550	Biopsy of neck/chest	J1	5072	5073	2	"3,420.50"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	24300	Mnpj elbow under anes	J1	5112	5073	1	"4,177.68"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	25115	Remove wrist/forearm lesion	J1	5112	5073	1	"2,941.58"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	25605	Cltx dst rdl fx/ephys sep w/	J1	5112	5073	1	"4,076.25"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	26011	Drainage of finger abscess	J1	5072	5073	3	"2,033.55"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	26055	Incise finger tendon sheath	J1	5112	5073	2	"3,594.98"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	26140	Revise finger joint each	J1	5112	5073	1	"13,138.15"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	26145	Tendon excision palm/finger	J1	5112	5073	1	"3,188.98"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	26160	Remove tendon sheath lesion	J1	5112	5073	12	"1,693.73"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	26236	Partial removal finger bone	J1	5112	5073	2	"4,507.24"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	26410	Repair hand tendon	J1	5112	5073	1	"3,052.33"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	26418	Repair finger tendon	J1	5112	5073	9	"2,881.20"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	26525	Release finger contracture	J1	5112	5073	2	"3,125.16"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	27040	Biopsy of soft tissues	J1	5072	5073	1	"3,060.95"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	27052	Biopsy of hip joint	J1	5112	5073	1	"4,495.40"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	27570	Fixation of knee joint	J1	5112	5073	2	"2,336.63"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	28002	Treatment of foot infection	J1	5112	5073	9	"2,523.68"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	28010	Incision of toe tendon	J1	5112	5073	9	"3,053.04"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	28011	Incision of toe tendons	J1	5112	5073	2	"3,044.54"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	28092	Removal of toe lesions	J1	5112	5073	2	"3,445.86"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	28232	Incision of toe tendon	J1	5112	5073	6	"3,953.95"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	28264	Release of midfoot joint	J1	5112	5073	1	"8,857.46"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	28435	Treatment of ankle fracture	J1	5112	5073	1	"4,746.67"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	40812	Excise/repair mouth lesion	J1	5163	5073	1	"2,979.82"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	41007	Drainage of mouth lesion	J1	5163	5073	1	"6,842.76"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	41108	Biopsy of floor of mouth	J1	5072	5073	1	"3,579.82"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	42100	Biopsy roof of mouth	J1	5163	5073	1	"4,917.06"	11422	"2,685.26"	N
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	D7210	Rem imp tooth w mucoper flp	J1	5163	5073	1	"10,014.27"	11422	"2,685.26"	N
11404	Exc tr-ext b9+marg 3.1-4 cm	J1	5072	0752T	Dgtz gls mcrscp sld lvl iii	N	 	5073	10	"1,429.27"	11422	"2,685.26"	N
11404	Exc tr-ext b9+marg 3.1-4 cm	J1	5072	0753T	Dgtz gls mcrscp sld level iv	N	 	5073	4	998.87	11422	"2,685.26"	N
11404	Exc tr-ext b9+marg 3.1-4 cm	J1	5072	10140	I&d hmtma seroma/fluid collj	J1	5072	5073	1	"4,463.80"	11422	"2,685.26"	N
11404	Exc tr-ext b9+marg 3.1-4 cm	J1	5072	11404	Exc tr-ext b9+marg 3.1-4 cm	J1	5072	5073	35	"1,989.06"	11422	"2,685.26"	N
11404	Exc tr-ext b9+marg 3.1-4 cm	J1	5072	11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	5073	2	"3,029.87"	11422	"2,685.26"	N
11404	Exc tr-ext b9+marg 3.1-4 cm	J1	5072	11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	5073	17	"2,259.56"	11422	"2,685.26"	N
11404	Exc tr-ext b9+marg 3.1-4 cm	J1	5072	11423	Exc h-f-nk-sp b9+marg 2.1-3	J1	5072	5073	14	"1,807.53"	11422	"2,685.26"	N
11404	Exc tr-ext b9+marg 3.1-4 cm	J1	5072	19083	Bx breast 1st lesion us imag	J1	5072	5073	1	"2,144.77"	11422	"2,685.26"	N
11404	Exc tr-ext b9+marg 3.1-4 cm	J1	5072	25111	Remove wrist tendon lesion	J1	5112	5073	2	"2,481.92"	11422	"2,685.26"	N
11404	Exc tr-ext b9+marg 3.1-4 cm	J1	5072	26055	Incise finger tendon sheath	J1	5112	5073	1	"1,246.70"	11422	"2,685.26"	N
11404	Exc tr-ext b9+marg 3.1-4 cm	J1	5072	28090	Removal of foot lesion	J1	5112	5073	1	"1,874.38"	11422	"2,685.26"	N
11404	Exc tr-ext b9+marg 3.1-4 cm	J1	5072	52000	Cystourethroscopy	J1	5372	5073	2	"1,372.83"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	0752T	Dgtz gls mcrscp sld lvl iii	N	 	5073	13	"2,103.31"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	0753T	Dgtz gls mcrscp sld level iv	N	 	5073	1	"1,248.57"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	10140	I&d hmtma seroma/fluid collj	J1	5072	5073	15	"3,742.59"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	5073	1	"13,605.09"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	11404	Exc tr-ext b9+marg 3.1-4 cm	J1	5072	5073	100	"2,564.01"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	5073	152	"2,899.05"	11422	"2,685.26"	Y
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	5073	1	"2,196.71"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	5073	23	"3,234.95"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	11423	Exc h-f-nk-sp b9+marg 2.1-3	J1	5072	5073	20	"2,818.29"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	11424	Exc h-f-nk-sp b9+marg 3.1-4	J1	5072	5073	22	"3,287.70"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	11443	Exc face-mm b9+marg 2.1-3 cm	J1	5072	5073	10	"3,010.21"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	11444	Exc face-mm b9+marg 3.1-4 cm	J1	5072	5073	1	"2,515.38"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	11623	Exc s/n/h/f/g mal+mrg 2.1-3	J1	5072	5073	1	"2,791.30"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	11643	Exc f/e/e/n/l mal+mrg 2.1-3	J1	5072	5073	4	"2,658.85"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	21011	Exc face les sc <2 cm	J1	5072	5073	1	949.94	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	21550	Biopsy of neck/chest	J1	5072	5073	1	"2,375.33"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	21930	Exc back les sc < 3 cm	J1	5072	5073	1	301.19	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	23075	Exc shoulder les sc < 3 cm	J1	5072	5073	2	"2,005.21"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	24075	Exc arm/elbow les sc < 3 cm	J1	5072	5073	2	"3,233.97"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	26113	Exc hand tum deep 1.5 cm/>	J1	5072	5073	1	"3,525.41"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	26160	Remove tendon sheath lesion	J1	5112	5073	2	"2,253.44"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	27327	Exc thigh/knee les sc < 3 cm	J1	5072	5073	2	"3,277.45"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	27618	Exc leg/ankle tum < 3 cm	J1	5072	5073	1	"2,564.93"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	28090	Removal of foot lesion	J1	5112	5073	1	"1,974.86"	11422	"2,685.26"	N
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	38505	Needle biopsy lymph nodes	J1	5072	5073	1	"3,653.18"	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	0752T	Dgtz gls mcrscp sld lvl iii	N	 	5073	3	482.59	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	0753T	Dgtz gls mcrscp sld level iv	N	 	5073	2	"1,055.19"	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	5073	45	"1,856.40"	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	25000	Incision of tendon sheath	J1	5112	5073	1	"2,190.73"	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	25110	Remove wrist tendon lesion	J1	5112	5073	1	"3,172.71"	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	25111	Remove wrist tendon lesion	J1	5112	5073	1	"1,182.08"	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	26011	Drainage of finger abscess	J1	5072	5073	1	836.07	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	26055	Incise finger tendon sheath	J1	5112	5073	11	"1,815.54"	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	26080	Explore/treat finger joint	J1	5112	5073	1	"1,713.69"	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	26145	Tendon excision palm/finger	J1	5112	5073	2	"3,491.92"	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	26160	Remove tendon sheath lesion	J1	5112	5073	8	"2,050.60"	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	26236	Partial removal finger bone	J1	5112	5073	1	"1,497.40"	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	26560	Repair of web finger	J1	5112	5073	1	"4,257.64"	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	28010	Incision of toe tendon	J1	5112	5073	1	"2,082.79"	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	28090	Removal of foot lesion	J1	5112	5073	2	"2,239.41"	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	28092	Removal of toe lesions	J1	5112	5073	2	"2,185.71"	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	28108	Removal of toe lesions	J1	5112	5073	1	"1,668.24"	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	28234	Incision of foot tendon	J1	5112	5073	1	"1,638.98"	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	29848	Wrist endoscopy/surgery	J1	5112	5073	4	"1,890.63"	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	30801	Ablate inf turbinate superf	J1	5163	5073	1	"3,739.69"	11422	"2,685.26"	N
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	52000	Cystourethroscopy	J1	5372	5073	7	"1,922.58"	11422	"2,685.26"	N
11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	0752T	Dgtz gls mcrscp sld lvl iii	N	 	5073	30	839.63	11422	"2,685.26"	N
11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	0753T	Dgtz gls mcrscp sld level iv	N	 	5073	11	940.91	11422	"2,685.26"	N
11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	0754T	Dgtz gls mcrscp sld level v	N	 	5073	1	"1,753.00"	11422	"2,685.26"	N
11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	5073	25	"2,300.36"	11422	"2,685.26"	N
11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	5073	115	"1,897.01"	11422	"2,685.26"	N
11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	25000	Incision of tendon sheath	J1	5112	5073	1	"3,312.14"	11422	"2,685.26"	N
11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	26055	Incise finger tendon sheath	J1	5112	5073	6	"1,679.53"	11422	"2,685.26"	N
11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	26160	Remove tendon sheath lesion	J1	5112	5073	3	"2,443.50"	11422	"2,685.26"	N
11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	26236	Partial removal finger bone	J1	5112	5073	2	"1,640.28"	11422	"2,685.26"	N
11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	28090	Removal of foot lesion	J1	5112	5073	3	"1,966.50"	11422	"2,685.26"	N
11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	28108	Removal of toe lesions	J1	5112	5073	1	"2,113.77"	11422	"2,685.26"	N
11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	28272	Release of toe joint each	J1	5112	5073	1	"4,418.06"	11422	"2,685.26"	N
11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	28345	Repair webbed toe(s)	J1	5112	5073	1	"3,590.53"	11422	"2,685.26"	N
11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	29848	Wrist endoscopy/surgery	J1	5112	5073	3	"1,961.78"	11422	"2,685.26"	N
11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	52000	Cystourethroscopy	J1	5372	5073	5	"2,308.90"	11422	"2,685.26"	N
11423	Exc h-f-nk-sp b9+marg 2.1-3	J1	5072	0752T	Dgtz gls mcrscp sld lvl iii	N	 	5073	5	"1,584.53"	11422	"2,685.26"	N
11423	Exc h-f-nk-sp b9+marg 2.1-3	J1	5072	0753T	Dgtz gls mcrscp sld level iv	N	 	5073	2	"1,163.13"	11422	"2,685.26"	N
11423	Exc h-f-nk-sp b9+marg 2.1-3	J1	5072	11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	5073	10	"1,772.07"	11422	"2,685.26"	N
11423	Exc h-f-nk-sp b9+marg 2.1-3	J1	5072	11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	5073	69	"2,136.38"	11422	"2,685.26"	N
11423	Exc h-f-nk-sp b9+marg 2.1-3	J1	5072	11423	Exc h-f-nk-sp b9+marg 2.1-3	J1	5072	5073	41	"1,900.09"	11422	"2,685.26"	N
11423	Exc h-f-nk-sp b9+marg 2.1-3	J1	5072	21550	Biopsy of neck/chest	J1	5072	5073	1	"2,385.30"	11422	"2,685.26"	N
11423	Exc h-f-nk-sp b9+marg 2.1-3	J1	5072	26055	Incise finger tendon sheath	J1	5112	5073	2	"1,836.98"	11422	"2,685.26"	N
11423	Exc h-f-nk-sp b9+marg 2.1-3	J1	5072	26080	Explore/treat finger joint	J1	5112	5073	1	"2,033.12"	11422	"2,685.26"	N
11423	Exc h-f-nk-sp b9+marg 2.1-3	J1	5072	26236	Partial removal finger bone	J1	5112	5073	1	"2,291.85"	11422	"2,685.26"	N
11423	Exc h-f-nk-sp b9+marg 2.1-3	J1	5072	28092	Removal of toe lesions	J1	5112	5073	1	"2,120.91"	11422	"2,685.26"	N
11423	Exc h-f-nk-sp b9+marg 2.1-3	J1	5072	29848	Wrist endoscopy/surgery	J1	5112	5073	1	"2,542.42"	11422	"2,685.26"	N
11423	Exc h-f-nk-sp b9+marg 2.1-3	J1	5072	52000	Cystourethroscopy	J1	5372	5073	3	"7,249.10"	11422	"2,685.26"	N
11423	Exc h-f-nk-sp b9+marg 2.1-3	J1	5072	55100	Drainage of scrotum abscess	J1	5072	5073	1	"2,052.43"	11422	"2,685.26"	N
11424	Exc h-f-nk-sp b9+marg 3.1-4	J1	5072	0752T	Dgtz gls mcrscp sld lvl iii	N	 	5073	3	"1,175.09"	11422	"2,685.26"	N
11424	Exc h-f-nk-sp b9+marg 3.1-4	J1	5072	0753T	Dgtz gls mcrscp sld level iv	N	 	5073	2	"2,011.15"	11422	"2,685.26"	N
11424	Exc h-f-nk-sp b9+marg 3.1-4	J1	5072	10140	I&d hmtma seroma/fluid collj	J1	5072	5073	1	"1,589.62"	11422	"2,685.26"	N
11424	Exc h-f-nk-sp b9+marg 3.1-4	J1	5072	11404	Exc tr-ext b9+marg 3.1-4 cm	J1	5072	5073	7	"2,579.01"	11422	"2,685.26"	N
11424	Exc h-f-nk-sp b9+marg 3.1-4	J1	5072	11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	5073	4	"3,212.75"	11422	"2,685.26"	N
11424	Exc h-f-nk-sp b9+marg 3.1-4	J1	5072	11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	5073	17	"1,864.40"	11422	"2,685.26"	N
11424	Exc h-f-nk-sp b9+marg 3.1-4	J1	5072	11423	Exc h-f-nk-sp b9+marg 2.1-3	J1	5072	5073	28	"2,629.17"	11422	"2,685.26"	N
11424	Exc h-f-nk-sp b9+marg 3.1-4	J1	5072	11424	Exc h-f-nk-sp b9+marg 3.1-4	J1	5072	5073	13	"2,164.24"	11422	"2,685.26"	N
11424	Exc h-f-nk-sp b9+marg 3.1-4	J1	5072	11443	Exc face-mm b9+marg 2.1-3 cm	J1	5072	5073	6	"2,689.10"	11422	"2,685.26"	N
11424	Exc h-f-nk-sp b9+marg 3.1-4	J1	5072	11623	Exc s/n/h/f/g mal+mrg 2.1-3	J1	5072	5073	1	"3,604.33"	11422	"2,685.26"	N
11424	Exc h-f-nk-sp b9+marg 3.1-4	J1	5072	29848	Wrist endoscopy/surgery	J1	5112	5073	2	"3,394.95"	11422	"2,685.26"	N
11424	Exc h-f-nk-sp b9+marg 3.1-4	J1	5072	52000	Cystourethroscopy	J1	5372	5073	2	"3,137.12"	11422	"2,685.26"	N
11443	Exc face-mm b9+marg 2.1-3 cm	J1	5072	0752T	Dgtz gls mcrscp sld lvl iii	N	 	5073	5	803.49	11422	"2,685.26"	N
