CY 2025 OPPS/ASC FINAL RULE		
"Addendum O: Long Descriptors for New Category I CPT Codes, Category III CPT Codes, C-codes, and G-Codes Effective January 1, 2025"		
CPT codes and descriptions only are copyright 2024 American Medical Association.ÿ All Rights Reserved.ÿ Applicable FARS/DFARS Apply. 		
"NOTE:  As discussed in sections III.A. (Proposed OPPS Treatment of New and Revised HCPCS Codes) and XIII.B (Proposed ASC Treatment of New and Revised Codes) of the CY 2025 OPPS/ASC proposed rule, we requested comments on new CPT codes that would be effective January 1, 2025, which are listed below. Specifically, we requested comments on the OPPS status indicator and APC assignments, as well as the ASC payment indicator assignments for the codes assigned to comment indicator ""NP"" (New code for the next calendar year or existing code with substantial revision to its code descriptor in the next calendar year as compared to current calendar year, proposed APC assignment; comments will be accepted on the proposed APC assignment for the new code.). We note that because the CPT code descriptors that appeared in Addendum B are short descriptors and do not accurately describe the complete procedure, service, or item described by the CPT code, we included the 5-digit placeholder codes and their long descriptors for the new and revised CY 2025 CPT codes in Addendum O to the proposed rule so that the public could adequately comment on our proposed APCs and status indicator assignments. Listed below in column A are the final CY 2025 CPT codes for the placeholder codes. The final CY 2025 payment rates for these codes can be found in OPPS Addendum B, ASC Addendum AA, and ASC Addendum BB of the CY 2025 OPPS/ASC final rule with comment period, which are available via the internet on the CMS website."		
	CY 2025 OPPS/ASC                                                                                                                                              Proposed Rule                                                                                                                                         5-Digit AMA/CMS Placeholder Code	Long Descriptor
64474	6XX12	"Lower extremity fascial plane block, unilateral; by continuous infusion(s), including imaging guidance, when performed"
76014	7XX00	"MR safety implant and/or foreign body assessment by trained clinical staff, including identification and verification of implant components from appropriate sources (eg, surgical reports, imaging reports, medical device databases, device vendors, review of prior imaging), analyzing current MR conditional status of individual components and systems, and consulting published professional guidance with written report; initial 15 minutes"
76015	7XX01	"MR safety implant and/or foreign body assessment by trained clinical staff, including identification and verification of implant components from appropriate sources (eg, surgical reports, imaging reports, medical device databases, device vendors, review of prior imaging), analyzing current MR conditional status of individual components and systems, and consulting published professional guidance with written report; each additional 30 minutes (List separately in addition to code for primary procedure)"
76016	7XX02	"MR safety determination by a physician or other qualified health care professional responsible for the safety of the MR procedure, including review of implant MR conditions for indicated MR examination, analysis of risk vs clinical benefit of performing MR examination, and determination of MR equipment, accessory equipment, and expertise required to perform examination, with written report"
76017	7XX03	"MR safety medical physics examination customization, planning and performance monitoring by medical physicist or MR safety expert, with review and analysis by physician or other qualified health care professional to prioritize and select views and imaging sequences, to tailor MR acquisition specific to restrictive requirements or artifacts associated with MR conditional implants or to mitigate risk of non-conditional implants or foreign bodies, with written report"
76018	7XX04	"MR safety implant electronics preparation under supervision of physician or other qualified health care professional, including MR-specific programming of pulse generator and/or transmitter to verify device integrity, protection of device internal circuitry from MR electromagnetic fields, and protection of patient from risks of unintended stimulation or heating while in the MR room, with written report"
76019	7XX05	"MR safety implant positioning and/or immobilization under supervision of physician or other qualified health care professional, including application of physical protections to secure implanted medical device from MR-induced translational or vibrational forces, magnetically induced functional changes, and/or prevention of radiofrequency burns from inadvertent tissue contact while in the MR room, with written report"
81558	8156X	"Transplantation medicine (allograft rejection, kidney), mRNA, gene expression profiling by quantitative polymerase chain reaction (qPCR) of 139 genes, utilizing whole blood, algorithm reported as a binary categorization as transplant excellence, which indicates immune quiescence, or not transplant excellence, indicating subclinical rejection"
82233	82XX0	Beta-amyloid; 1-40 (Abeta 40)
82234	82XX1	Beta-amyloid; 1-42 (Abeta 42)
83884	83XX0	Neurofilament light chain (NfL)
87513	8X050	"Infectious agent detection by nucleic acid (DNA or RNA); Helicobacter pylori (H. pylori), clarithromycin resistance, amplified probe technique"
87564	8X051	"Infectious agent detection by nucleic acid (DNA or RNA); Mycobacterium tuberculosis, rifampin resistance, amplified probe technique"
84393	8X3X0	"Tau, phosphorylated (eg, pTau 181, pTau 217), each"
84394	8X3XX	"Tau, total (tTau)"
81515	8XX00	"Infectious disease, bacterial vaginosis and vaginitis, real-time PCR amplification of DNA markers for Atopobium vaginae, Atopobium species, and Megasphaera type 1, Bacterial Vaginosis?Associated Bacteria 2 (BVAB-2), utilizing vaginal-fluid specimens, algorithm reported as positive or negative for high likelihood of bacterial vaginosis, includes separate detection of Trichomonas vaginalis and Candida species (C. albicans, C. tropicalis, C. parapsilosis, C. dubliniensis), Candida glabrata/Candida krusei, when reported"
86581	86XX1	"Streptococcus pneumoniaeÿantibody (IgG), serotypes, multiplex immunoassay, quantitative"
87594	87XX0	"Infectious agent detection by nucleic acid (DNA or RNA); Pneumocystis jirovecii, amplified probe technique"
87626	87XX1	"Infectious agent detection by nucleic acid (DNA or RNA); Human Papillomavirus (HPV), separately reported high-risk types (eg, 16, 18, 31,45, 51, 52) and high-risk pooled result(s)"
81195	88XX0	"Cytogenomic genome-wide analysis, hematologic malignancy, structural variations and copy number variations, optical genome mapping (OGM)"
90684	906XX	"Pneumococcal conjugate vaccine, 21 valent (PCV21), for intramuscular use"
93896	93X94	"Vasoreactivity study performed with transcranial Doppler study of intracranial arteries, complete (List separately in addition to code for primary procedure)"
93897	93X95	"Emboli detection without intravenous microbubble injection performed with transcranial Doppler study of intracranial arteries, complete (List separately in addition to code for primary procedure)"
93898	93X96	"Venous-arterial shunt detection with intravenous microbubble injection performed with transcranial Doppler study of intracranial arteries, complete (List separately in addition to code for primary procedure)"
92137	9X059	"Computerized ophthalmic diagnostic imaging (eg, optical coherence tomography [OCT]), posterior segment, with interpretation and report, unilateral or bilateral; retina, including OCT angiography"
98000	9X075	"Synchronous audio-video visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and straightforward medical decision making.

When using total time on the date of the encounter for code selection, 15 minutes must be met or exceeded."
98001	9X076	"Synchronous audio-video visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and low medical decision making.
When using total time on the date of the encounter for code selection, 30 minutes must be met or exceeded."
98002	9X077	"Synchronous audio-video visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and moderate medical decision making.
When using total time on the date of the encounter for code selection, 45 minutes must be met or exceeded."
98003	9X078	"Synchronous audio-video visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and high medical decision making.
When using total time on the date of the encounter for code selection, 60 minutes must be met or exceeded."
98004	9X079	"Synchronous audio-video visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and straightforward medical decision making.

When using total time on the date of the encounter for code selection, 10 minutes must be met or exceeded."
98005	9X080	"Synchronous audio-video visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and low medical decision making.
When using total time on the date of the encounter for code selection, 20 minutes must be met or exceeded."
98006	9X081	"Synchronous audio-video visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and moderate medical decision making.

When using total time on the date of the encounter for code selection, 30 minutes must be met or exceeded."
98007	9X082	"Synchronous audio-video visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and high medical decision making.
When using total time on the date of the encounter for code selection, 40 minutes must be met or exceeded."
98008	9X083	"Synchronous audio-only visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination, straightforward medical decision making, and more than 10 minutes of medical discussion.

When using total time on the date of the encounter for code selection, 15 minutes must be met or exceeded."
98009	9X084	"Synchronous audio-only visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination, low medical decision making, and more than 10 minutes of medical discussion.

When using total time on the date of the encounter for code selection, 30 minutes must be met or exceeded."
98010	9X085	"Synchronous audio-only visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination, moderate medical decision making, and more than 10 minutes of medical discussion.

When using total time on the date of the encounter for code selection, 45 minutes must be met or exceeded."
98011	9X086	"Synchronous audio-only visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination, high medical decision making, and more than 10 minutes of medical discussion.

When using total time on the date of the encounter for code selection, 60 minutes must be met or exceeded."
98012	9X087	"Synchronous audio-only visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination, straightforward medical decision making, and more than 10 minutes of medical discussion.

When using total time on the date of the encounter for code selection, 10 minutes must be exceeded."
98013	9X088	"Synchronous audio-only visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination, low medical decision making, and more than 10 minutes of medical discussion.

When using total time on the date of the encounter for code selection, 20 minutes must be met or exceeded."
98014	9X089	"Synchronous audio-only visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination, moderate medical decision making, and more than 10 minutes of medical discussion.

When using total time on the date of the encounter for code selection, 30 minutes must be met or exceeded."
98015	9X090	"Synchronous audio-only visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination, high medical decision making, and more than 10 minutes of medical discussion.

When using total time on the date of the encounter for code selection, 40 minutes must be met or exceeded."
98016	9X091	"Brief communication technology-based service (eg, virtual check-in) by a physician or other qualified health care professional who can report evaluation and management services, provided to an established patient, not originating from a related evaluation and management service provided within the previous 7 days nor leading to an evaluation and management service or procedure within the next 24 hours or soonest available appointment, 5-10 minutes of medical discussion"
96041	9X100	"Medical genetics and genetic counseling services, each 30 minutes of total time provided by the genetic counselor on the date of the encounter"
C7561	C75X1	"Biopsy or excision of lymph node(s); open, superficial with intraoperative identification (eg, mapping) of sentinel lymph node(s) includes injection of non-radioactive dye, when performed"
C7562	C75X2	"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with right and left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed with intraprocedural coronary fractional flow reserve (ffr) with 3d functional mapping of color-coded ffr values for the coronary tree, derived from coronary angiogram data, for real-time review and interpretation of possible atherosclerotic stenosis(es) intervention"
C7563	C75X3	"Transluminal balloon angioplasty (except lower extremity artery(ies) for occlusive disease, intracranial, coronary, pulmonary, or dialysis circuit), open or percutaneous, including all imaging and radiological supervision and interpretation necessary to perform the  angioplasty within the same artery, initial artery and all additional arteries. "
C7564	C75X4	"Percutaneous transluminal mechanical thrombectomy, vein(s), including intraprocedural pharmacological thrombolytic injections and fluoroscopic guidance with intravascular ultrasound (noncoronary vessel(s)) during diagnostic evaluation and/or therapeutic intervention, including radiological supervision and interpretation."
C9804	C98X4	"Elastomeric infusion pump (e.g., ON-Q* Pump with Bolus), including catheter and all disposable system components, non-opioid medical device (must be a qualifying Medicare non-opioid medical device for post-surgical pain relief in accordance with Section 4135 of the CAA, 2023)"
G0555	GXXX1 /GMEM1	"Provision of replacement patient electronics system (e.g., system pillow) for home pulmonary artery pressure monitoring including provision of materials for use in the home and reporting of test results to physician or qualified health care professional"
0915T	XX01T	"Insertion of permanent cardiac contractility modulation-defibrillation system component(s), including fluoroscopic guidance, and evaluation and programming of sensing and therapeutic parameters; pulse generator and dual transvenous electrodes/leads (pacing and defibrillation)"
0916T	XX02T	"Insertion of permanent cardiac contractility modulation-defibrillation system component(s), including fluoroscopic guidance, and evaluation and programming of sensing and therapeutic parameters; pulse generator only"
0917T	XX03T	"Insertion of permanent cardiac contractility modulation-defibrillation system component(s), including fluoroscopic guidance, and evaluation and programming of sensing and therapeutic parameters; single transvenous lead (pacing or defibrillation) only"
0918T	XX04T	"Insertion of permanent cardiac contractility modulation-defibrillation system component(s), including fluoroscopic guidance, and evaluation and programming of sensing and therapeutic parameters; dual transvenous leads (pacing and defibrillation) only"
0919T	XX05T	Removal of a permanent cardiac contractility modulation-defibrillation system component(s); pulse generator only
0920T	XX06T	Removal of a permanent cardiac contractility modulation-defibrillation system component(s); single transvenous pacing lead only
0921T	XX07T	Removal of a permanent cardiac contractility modulation-defibrillation system component(s); single transvenous defibrillation lead only
0922T	XX08T	Removal of a permanent cardiac contractility modulation-defibrillation system component(s); dual (pacing and defibrillation) transvenous leads only
0923T	XX09T	Removal and replacement of permanent cardiac contractility modulation-defibrillation pulse generator only
0924T	XX10T	"Repositioning of previously implanted cardiac contractility modulation-defibrillation transvenous electrode(s)/lead(s), including fluoroscopic guidance and programming of sensing and therapeutic parameters"
0925T	XX11T	Relocation of skin pocket for implanted cardiac contractility modulation-defibrillation pulse generator
0926T	XX12T	"Programming device evaluation (in person) with iterative adjustment of the implantable device to test the function of the device and select optimal permanent programmed values with analysis, including review and report, implantable cardiac contractility modulation-defibrillation system"
0927T	XX13T	"Interrogation device evaluation (in person) with analysis, review, and report, including connection, recording, and disconnection, per patient encounter, implantable cardiac contractility modulation-defibrillation system"
0928T	XX14T	"Interrogation device evaluation (remote), up to 90 days, cardiac contractility modulation-defibrillation system with interim analysis and report(s) by a physician or other qualified health care professional"
0929T	XX15T	"Interrogation device evaluation (remote), up to 90 days, cardiac contractility modulation-defibrillation system, remote data acquisition(s), receipt of transmissions, technician review, technical support, and distribution of results"
0930T	XX16T	"Electrophysiologic evaluation of cardiac contractility modulation-defibrillator leads, including defibrillation-threshold evaluation (induction of arrhythmia, evaluation of sensing and therapy for arrhythmia termination), at time of initial implantation or replacement with testing of cardiac contractility modulation-defibrillator pulse generator"
0931T	XX17T	"Electrophysiologic evaluation of cardiac contractility modulation-defibrillator leads, including defibrillation-threshold evaluation (induction of arrhythmia, evaluation of sensing and therapy for arrhythmia termination), separate from initial implantation or replacement with testing of cardiac contractility modulation-defibrillator pulse generator"
0906T	XX18T	"Concurrent optical and magnetic stimulation (COMS) therapy, wound assessment and dressing care; first application, total wound(s) surface area less than or equal to 50 sq cm"
0902T	XX19T	"QTc interval derived by augmentative algorithmic analysis of input from an external, patient-activated mobile ECG device"
0903T	XX20T	"Electrocardiogram, algorithmically generated 12-lead ECG from a reduced-lead ECG; with interpretation and report"
0905T	XX21T	"Electrocardiogram, algorithmically generated 12-lead ECG from a reduced-lead ECG; interpretation and report only"
0904T	XX22T	"Electrocardiogram, algorithmically generated 12-lead ECG from a reduced-lead ECG; tracing only"
0913T	XX23T	"Percutaneous transcatheter therapeutic drug delivery by intracoronary drug-delivery balloon (eg, drug-coated, drug-eluting), including mechanical dilation by nondrug-delivery balloon angioplasty, endoluminal imaging using intravascular ultrasound (IVUS) or optical coherence tomography (OCT) when performed, imaging supervision, interpretation, and report, single major coronary artery or branch"
0901T	XX29T	"Placement of bone marrow sampling port, including imaging guidance when performed"
0908T	XX32T	"Open implantation of integrated neurostimulation system, vagus nerve, including analysis and programming, when performed"
0909T	XX33T	"Replacement of integrated neurostimulation system, vagus nerve, including analysis and programming, when performed"
0910T	XX34T	"Removal of integrated neurostimulation system, vagus nerve"
0911T	XX35T	"Electronic analysis of implanted integrated neurostimulation system, vagus nerve; without programming by physician or other qualified health care professional"
0912T	XX36T	"Electronic analysis of implanted integrated neurostimulation system, vagus nerve; with simple programming by physician or other qualified health care professional"
0907T	XX37T	"Concurrent optical and magnetic stimulation (COMS) therapy, wound assessment and dressing care; each additional application, total wound(s) surface area less than or equal to 50 sq cm (List separately in addition to code for primary procedure)"
0914T	XX40T	"Percutaneous transcatheter therapeutic drug delivery by intracoronary drug-delivery balloon (eg, drug-coated, drug-eluting) performed on a separate target lesion from the target lesion treated with balloon angioplasty, coronary stent placement or coronary atherectomy, including mechanical dilation by nondrug-delivery balloon angioplasty, endoluminal imaging using intravascular ultrasound (IVUS) or optical coherence tomography (OCT) when performed, imaging supervision, interpretation, and report, single major coronary artery or branch (List separately in addition to code for percutaneous coronary stent or atherectomy intervention)"
0935T	XX41T	"Cystourethroscopy with renal pelvic sympathetic denervation, radiofrequency ablation,ÿretrograde ureteral approach, includingÿinsertion of guide wire, selective placement of ureteral sheath(s) and multiple conformable electrodes, contrast injection(s), andÿfluoroscopy,ÿbilateral"
0941T	XX45T	"Cystourethroscopy, flexible;ÿwith insertion and expansion of prostatic urethral scaffold usingÿintegrated cystoscopic visualization"
0942T	XX46T	"Cystourethroscopy, flexible; with removal and replacement of prostatic urethral scaffold"
0943T	XX47T	"Cystourethroscopy, flexible;ÿwith removal of prostatic urethral scaffold"
0937T	XX51T	"External electrocardiographic recording for greater than 15 days up to 30ÿdays by continuous rhythm recording and storage; including recording, scanning analysis with report, review and interpretation by a physician or other qualified health care professional"
0938T	XX52T	External electrocardiographic recording for greater than 15 days up to 30ÿdays by continuous rhythm recording and storage; recording (including connection and initial recording)
0939T	XX53T	External electrocardiographic recording for greater than 15 days up to 30ÿdays by continuous rhythm recording and storage; scanning analysis with report
0940T	XX54T	External electrocardiographic recording for greater than 15 days up to 30ÿdays by continuous rhythm recording and storage; review and interpretation by a physician or other qualified health care professional
0932T	XX68T	"Noninvasive detection of heart failure derived from augmentative analysis of an echocardiogram that demonstrated preserved ejection fraction, with interpretation and report by a physician or other qualified health care professional"
0936T	XX69T	"Photobiomodulation therapy of retina, single session"
0945T	XX70T	"Intraoperative assessment for abnormal (tumor) tissue, in-vivo, following partial mastectomy (eg, lumpectomy) using computer-aided fluorescence imaging (List separately in addition to code for primary procedure)"
0933T	XX71T	"Transcatheter implantation of wireless left atrial pressure sensor for long-term left atrial pressure monitoring, including sensor calibration and deployment,ÿright heart catheterization, transseptal puncture, imaging guidance, and radiological supervision and interpretation"
0934T	XX72T	"Remote monitoring of a wireless left atrial pressure sensor for up to 30 days, including data from daily uploads of left atrial pressure recordings, interpretation(s) and trend analysis, with adjustments to the diuretics plan, treatment paradigm thresholds, medications or lifestyle modifications, when performed,ÿand report(s) by a physician or other qualified health care professional"
0944T	XX73T	3D contour simulation of target liver lesion(s) and margin(s) for image-guided percutaneous microwave ablation
0946T	XX75T	"Orthopedic implant movement analysis using paired computed tomography (CT) examination of the target structure, including data acquisition, data preparation and transmission, interpretation and report (including CT scan of the joint or extremity performed with paired views)"
0947T	XX77T	"Magnetic resonance image guided low intensity focused ultrasound (MRgFUS), stereotactic blood-brain barrier disruption using microbubble resonators to increase the concentration of blood-based biomarkers of target, intracranial, including stereotactic navigation and frame placement, when performed"
