	Addendum J for CY2025 ranks to determine primary assignment of comprehensive HCPCS codes									
22633	Arthrd cmbn 1ntrspc lumbar	J1	5116	"18,440.63"	"5,450"	"4,916"	"26,864.39"	54	 	
27702	Reconstruct ankle joint	J1	5116	"18,440.63"	"2,692"	"1,288"	"25,689.89"	55	 	
21243	Reconstruction of jaw joint	J1	5116	"18,440.63"	84	44	"24,201.47"	56	 	
24363	Replace elbow joint	J1	5116	"18,440.63"	311	232	"21,240.08"	57	 	
25446	Arthrp w/prostc dst rds&crps	J1	5116	"18,440.63"	81	43	"18,998.46"	58	 	
69715	Temple bne implnt w/stimulat	J1	5116	"18,440.63"	0	0	"18,440.63"	59	YES	
C8003	Imp extar knee shck absrb	J1	5116	"18,440.63"	0	0	"18,440.63"	60	 	
24371	Revise reconst elbow joint	J1	5116	"18,440.63"	66	53	"18,119.53"	61	 	
24361	Reconstruct elbow joint	J1	5116	"18,440.63"	24	14	"18,042.25"	62	 	
23472	Reconstruct shoulder joint	J1	5116	"18,440.63"	"59,760"	"52,168"	"17,619.11"	63	 	
22612	Arthrd pst tq 1ntrspc lumbar	J1	5116	"18,440.63"	"4,570"	"2,134"	"17,258.10"	64	 	
22856	Tot disc arthrp 1ntrspc crv	J1	5116	"18,440.63"	688	615	"16,260.39"	65	 	
27279	Arthrd si jt perq/min nvas	J1	5116	"18,440.63"	"2,351"	"2,114"	"16,103.60"	66	 	
28705	Arthrodesis pantalar	J1	5116	"18,440.63"	101	40	"15,926.02"	67	 	
22867	Insj stablj dev w/dcmprn	J1	5116	"18,440.63"	300	244	"15,535.68"	68	 	
25442	Arthrp w/prostc dstl ulna	J1	5116	"18,440.63"	40	15	"15,404.59"	69	 	
23616	Optx prx hmrl fx fix rpr rpl	J1	5116	"18,440.63"	65	37	"15,014.30"	70	 	
0775T	Arthrd si jt prq iartic impl	J1	5116	"18,440.63"	0	180	"14,287.29"	71	YES	
0809T	Arthrd si jt prq tfx&implt	J1	5116	"18,440.63"	10	9	"14,182.69"	72	YES	
27278	Arthrd si jt prq wo tfxj dev	J1	5116	"18,440.63"	0	76	"11,501.91"	73	 	
0796T	Tcat ins 2chmbr ldls pm ra	J1	5224	"17,853.88"	5	5	"28,241.09"	74	 	
0795T	Tcat ins 2chmbr ldls pm cmpl	J1	5224	"17,853.88"	19	16	"26,853.58"	75	 	
33274	Tcat insj/rpl perm ldls pm	J1	5224	"17,853.88"	"5,201"	"4,202"	"19,498.51"	76	 	
0801T	Tcat rmv&rpl 2chmbr ldls pm	J1	5224	"17,853.88"	1	0	"17,853.88"	77	 	
0302T	Icar ischm mntrng sys compl	J1	5224	"17,853.88"	0	0	"17,853.88"	78	YES	
0797T	Tcat ins 2chmbr ldls pm rv	J1	5224	"17,853.88"	0	0	"17,853.88"	79	 	
0802T	Tcat rmv&rpl2chmb ldls pm ra	J1	5224	"17,853.88"	0	0	"17,853.88"	80	 	
0803T	Tcat rmv&rpl2chmb ldls pm rv	J1	5224	"17,853.88"	0	0	"17,853.88"	81	 	
0823T	Tcat ins 1chmbr ldls pm ra	J1	5224	"17,853.88"	0	0	"17,853.88"	82	 	
0825T	Tcat rmv&rpl1chmb ldls pm ra	J1	5224	"17,853.88"	0	0	"17,853.88"	83	 	
33229	Remv&replc pm gen mult leads	J1	5224	"17,853.88"	"5,914"	"5,579"	"16,775.65"	84	 	
0525T	Insj/rplcmt compl iims	J1	5224	"17,853.88"	15	13	"15,026.26"	85	 	
33221	Insert pulse gen mult leads	J1	5224	"17,853.88"	120	115	"14,197.41"	86	 	
62362	Implant spine infusion pump	J1	5471	"16,875.65"	"3,039"	"1,811"	"16,922.55"	87	 	
62361	Implant spine infusion pump	J1	5471	"16,875.65"	105	56	"16,284.48"	88	 	
62360	Insert spine infusion device	J1	5471	"16,875.65"	86	54	"15,953.97"	89	 	
C9767	Revasc lithotrip-stent-ather	J1	5194	"16,405.75"	338	181	"25,209.16"	90	 	
33902	Perq p-art revsc 1 abnor uni	J1	5194	"16,405.75"	11	1	"22,606.21"	91	 	
37227	Fem/popl revasc stnt & ather	J1	5194	"16,405.75"	"2,426"	"1,449"	"21,131.95"	92	 	
C9775	Revasc lith-sten-ath tib/per	J1	5194	"16,405.75"	19	9	"20,360.12"	93	 	
C9766	Revasc intra lithotrip-ather	J1	5194	"16,405.75"	713	428	"19,612.73"	94	 	
93580	Transcath closure of asd	J1	5194	"16,405.75"	"1,981"	"1,900"	"18,728.92"	95	 	
C9765	Revasc intra lithotrip-stent	J1	5194	"16,405.75"	"2,090"	"1,204"	"18,710.06"	96	 	
C9774	Revasc lithotr-ather tib/per	J1	5194	"16,405.75"	125	51	"18,618.10"	97	 	
93590	Perq transcath cls mitral	J1	5194	"16,405.75"	66	61	"18,432.07"	98	 	
92933	Prq card stent/ath/angio	J1	5194	"16,405.75"	356	98	"18,257.41"	99	 	
37231	Tib/per revasc stent & ather	J1	5194	"16,405.75"	228	82	"17,786.70"	100	 	
93581	Transcath closure of vsd	J1	5194	"16,405.75"	12	10	"17,188.13"	101	 	
C9773	Revasc lithotr-stent tib/per	J1	5194	"16,405.75"	59	21	"16,927.54"	102	 	
36837	Prq av fstl crt uxtr sep acs	J1	5194	"16,405.75"	124	115	"16,705.93"	103	 	
0387T	Leadless c pm ins/rpl ventr	J1	5194	"16,405.75"	0	0	"16,405.75"	104	YES	
0632T	Perq tcat us abltj nrv p-art	J1	5194	"16,405.75"	0	0	"16,405.75"	105	 	
0793T	Prq tcat thrm ablt nrv p-art	J1	5194	"16,405.75"	0	0	"16,405.75"	106	 	
C9754	"Perc av fistula, direct"	J1	5194	"16,405.75"	0	0	"16,405.75"	107	YES	
C9755	Rf magnetic-guide av fistula	J1	5194	"16,405.75"	0	0	"16,405.75"	108	YES	
C9797	Vasc emb/occ w/prs cath	J1	5194	"16,405.75"	0	0	"16,405.75"	109	 	
G2170	Avf by tissue w thermal e	J1	5194	"16,405.75"	0	0	"16,405.75"	110	YES	
G2171	Avf use magnetic/art/ven	J1	5194	"16,405.75"	0	0	"16,405.75"	111	YES	
C9602	Perc d-e cor stent ather s	J1	5194	"16,405.75"	"6,230"	"2,149"	"16,350.91"	112	 	
93582	Perq transcath closure pda	J1	5194	"16,405.75"	19	17	"16,030.59"	113	 	
0238T	Trluml perip athrc iliac art	J1	5194	"16,405.75"	196	6	"15,894.65"	114	 	
C9607	Perc d-e cor revasc chro sin	J1	5194	"16,405.75"	"3,773"	"1,520"	"15,777.17"	115	 	
37225	Fem/popl revas w/ather	J1	5194	"16,405.75"	"6,404"	"3,697"	"15,613.37"	116	 	
37242	Vasc embolize/occlude artery	J1	5194	"16,405.75"	"3,465"	"2,992"	"15,601.38"	117	 	
37229	Tib/per revasc w/ather	J1	5194	"16,405.75"	"3,017"	"1,259"	"14,966.44"	118	 	
93591	Perq transcath cls aortic	J1	5194	"16,405.75"	73	62	"14,689.92"	119	 	
37184	Prim art m-thrmbc 1st vsl	J1	5194	"16,405.75"	797	93	"14,322.64"	120	 	
36906	Thrmbc/nfs dialysis circuit	J1	5194	"16,405.75"	"1,948"	"1,761"	"14,044.30"	121	 	
37230	Tib/per revasc w/stent	J1	5194	"16,405.75"	700	260	"12,831.01"	122	 	
36836	Prq av fstl crtj uxtr 1 acs	J1	5194	"16,405.75"	236	213	"11,313.42"	123	 	
0645T	Tcat impltj c sins rdctj dev	J1	5194	"16,405.75"	9	9	"5,412.52"	124	 	
65770	Keratoprosthesis	J1	5494	"13,319.27"	90	17	"13,319.27"	125	 	
54417	Remv/replc penis pros compl	J1	5377	"13,077.46"	13	12	"17,043.10"	126	 	
54400	Insert semi-rigid prosthesis	J1	5377	"13,077.46"	149	124	"16,194.27"	127	 	
0548T	Tprnl balo cntnc dev bi	J1	5377	"13,077.46"	0	0	"13,077.46"	128	YES	
55882	Ablt trurl prst8 tis trnsdcr	J1	5377	"13,077.46"	0	0	"13,077.46"	129	 	
C9746	Trans imp balloon cont	J1	5377	"13,077.46"	0	0	"13,077.46"	130	YES	
53440	Male sling procedure	J1	5377	"13,077.46"	810	695	"12,775.17"	131	 	
53451	Tprnl balo cntnc dev bi	J1	5377	"13,077.46"	110	107	"11,495.69"	132	 	
24362	Reconstruct elbow joint	J1	5115	"12,960.23"	2	2	"21,196.81"	133	 	
27415	Osteochondral knee allograft	J1	5115	"12,960.23"	24	7	"20,517.98"	134	 	
28715	Arthrodesis triple	J1	5115	"12,960.23"	841	215	"17,053.90"	135	 	
23802	Arthrd glenohumeral jt w/grf	J1	5115	"12,960.23"	3	2	"16,803.42"	136	 	
24370	Revise reconst elbow joint	J1	5115	"12,960.23"	71	52	"16,006.85"	137	 	
22869	Insj stablj dev w/o dcmprn	J1	5115	"12,960.23"	710	693	"15,927.69"	138	 	
69729	Impl oi implt sk tc esp>=100	J1	5115	"12,960.23"	5	4	"15,328.42"	139	 	
27870	Fusion of ankle joint open	J1	5115	"12,960.23"	"1,344"	521	"15,038.58"	140	 	
24435	Repair humerus with graft	J1	5115	"12,960.23"	249	198	"14,747.32"	141	 	
29907	Subtalar arthro w/fusion	J1	5115	"12,960.23"	16	2	"14,705.18"	142	 	
24587	Treat elbow fracture	J1	5115	"12,960.23"	37	23	"14,679.90"	143	 	
24546	Treat humerus fracture	J1	5115	"12,960.23"	229	172	"14,588.35"	144	 	
69719	Rplcm oi implt sk tc esp<100	J1	5115	"12,960.23"	6	6	"14,460.22"	145	 	
28735	Fusion of foot bones	J1	5115	"12,960.23"	289	41	"14,137.22"	146	 	
22554	Arthrd ant ntrbd min dsc crv	J1	5115	"12,960.23"	341	285	"13,847.97"	147	 	
27443	Revision of knee joint	J1	5115	"12,960.23"	5	5	"13,769.31"	148	 	
69716	Impl oi implt sk tc esp<100	J1	5115	"12,960.23"	135	116	"13,764.49"	149	 	
29856	Tibial arthroscopy/surgery	J1	5115	"12,960.23"	14	1	"13,688.40"	150	 	
28730	Fusion of foot bones	J1	5115	"12,960.23"	"1,927"	444	"13,423.84"	151	 	
27442	Revision of knee joint	J1	5115	"12,960.23"	117	115	"13,414.83"	152	 	
25441	Arthrp w/prostc dstl rds	J1	5115	"12,960.23"	16	6	"13,338.58"	153	 	
23470	Reconstruct shoulder joint	J1	5115	"12,960.23"	564	464	"13,338.51"	154	 	
27130	Total hip arthroplasty	J1	5115	"12,960.23"	"112,190"	"111,512"	"13,277.35"	155	 	
22551	Arthrd ant ntrbdy cervical	J1	5115	"12,960.23"	"11,270"	"10,868"	"13,158.58"	156	 	
23491	Reinforce shoulder bones	J1	5115	"12,960.23"	41	18	"13,132.51"	157	 	
27440	Revision of knee joint	J1	5115	"12,960.23"	16	14	"13,093.58"	158	 	
28320	Repair of foot bones	J1	5115	"12,960.23"	84	16	"13,089.80"	159	 	
20692	Appl mltpln uni ext fixj sys	J1	5115	"12,960.23"	293	68	"13,048.88"	160	 	
29867	Allgrft implnt knee w/scope	J1	5115	"12,960.23"	11	0	"12,960.23"	161	 	
25491	Prophylactic tx ulna	J1	5115	"12,960.23"	2	0	"12,960.23"	162	 	
69730	Rplc oi implt sk tc esp>=100	J1	5115	"12,960.23"	1	0	"12,960.23"	163	 	
24410	Revision of humerus	J1	5115	"12,960.23"	0	0	"12,960.23"	164	 	
69718	Revise temple bone implant	J1	5115	"12,960.23"	0	0	"12,960.23"	165	YES	
C9752	Intraosseous des lumb/sacrum	J1	5115	"12,960.23"	0	0	"12,960.23"	166	YES	
23473	Revis reconst shoulder joint	J1	5115	"12,960.23"	865	756	"12,902.04"	167	 	
27447	Total knee arthroplasty	J1	5115	"12,960.23"	"202,321"	"199,941"	"12,883.70"	168	 	
24586	Treat elbow fracture	J1	5115	"12,960.23"	360	271	"12,723.55"	169	 	
29889	Knee arthroscopy/surgery	J1	5115	"12,960.23"	25	8	"12,629.38"	170	 	
27709	Osteotomy tibia & fibula	J1	5115	"12,960.23"	57	10	"12,595.78"	171	 	
27441	Revision of knee joint	J1	5115	"12,960.23"	6	4	"12,585.80"	172	 	
24365	Reconstruct head of radius	J1	5115	"12,960.23"	49	12	"12,471.43"	173	 	
24430	Repair of humerus	J1	5115	"12,960.23"	443	347	"12,338.41"	174	 	
28737	Revision of foot bones	J1	5115	"12,960.23"	185	33	"12,328.11"	175	 	
24498	Reinforce humerus	J1	5115	"12,960.23"	45	22	"12,315.03"	176	 	
64628	Trml dstrj ios bvn 1st 2 l/s	J1	5115	"12,960.23"	"1,680"	"1,659"	"12,259.65"	177	 	
24545	Treat humerus fracture	J1	5115	"12,960.23"	439	356	"12,229.07"	178	 	
27758	Treatment of tibia fracture	J1	5115	"12,960.23"	114	83	"12,207.17"	179	 	
27828	Treat lower leg fracture	J1	5115	"12,960.23"	251	194	"12,062.03"	180	 	
C9781	Arthro/shoul surg; w/spacer	J1	5115	"12,960.23"	504	200	"12,046.03"	181	 	
24802	Fusion/graft of elbow joint	J1	5115	"12,960.23"	2	1	"11,972.92"	182	 	
0629T	Perq njx algc ct lmbr 1st	J1	5115	"12,960.23"	1	1	"11,954.65"	183	 	
27446	Revision of knee joint	J1	5115	"12,960.23"	"6,598"	"6,453"	"11,793.12"	184	 	
28725	Arthrodesis subtalar	J1	5115	"12,960.23"	"2,382"	444	"11,759.71"	185	 	
28297	Cor hlx vlgs jt arthrd	J1	5115	"12,960.23"	"2,348"	816	"11,492.73"	186	 	
27428	Reconstruction knee	J1	5115	"12,960.23"	17	3	"11,348.64"	187	 	
27759	Treatment of tibia fracture	J1	5115	"12,960.23"	297	231	"11,295.59"	188	 	
23680	Optx sho dislc neck fx fixj	J1	5115	"12,960.23"	43	30	"11,184.81"	189	 	
24515	Treat humerus fracture	J1	5115	"12,960.23"	"1,123"	897	"11,074.65"	190	 	
25444	Arthrp w/prostc lunate	J1	5115	"12,960.23"	21	11	"11,030.63"	191	 	
69714	Impl oi implt skull perq esp	J1	5115	"12,960.23"	487	432	"10,946.08"	192	 	
23615	Optx prox humrl fx w/int fix	J1	5115	"12,960.23"	"2,516"	"1,932"	"10,849.59"	193	 	
24516	Treat humerus fracture	J1	5115	"12,960.23"	541	461	"10,782.37"	194	 	
24666	Treat radius fracture	J1	5115	"12,960.23"	269	87	"10,733.96"	195	 	
0627T	Perq njx algc fluor lmbr 1st	J1	5115	"12,960.23"	711	688	"10,580.07"	196	 	
27429	Reconstruction knee	J1	5115	"12,960.23"	6	2	"10,559.74"	197	 	
28420	Treat/graft heel fracture	J1	5115	"12,960.23"	27	14	"10,540.84"	198	 	
C9734	"U/s trtmt, not leiomyomata"	J1	5115	"12,960.23"	89	84	"10,092.31"	199	YES	
23485	Revision of collar bone	J1	5115	"12,960.23"	59	51	"10,050.46"	200	 	
27871	Fusion of tibiofibular joint	J1	5115	"12,960.23"	121	21	"9,995.98"	201	 	
25810	Arthrd wrst iliac/oth agrft	J1	5115	"12,960.23"	237	89	"9,994.40"	202	 	
24366	Reconstruct head of radius	J1	5115	"12,960.23"	222	93	"9,891.01"	203	 	
27356	Remove femur lesion/graft	J1	5115	"12,960.23"	9	4	"9,883.20"	204	 	
27827	Treat lower leg fracture	J1	5115	"12,960.23"	293	181	"9,839.24"	205	 	
25391	Lengthen radius or ulna	J1	5115	"12,960.23"	14	2	"9,673.24"	206	 	
20982	Ablate bone tumor(s) perq	J1	5115	"12,960.23"	837	93	"9,603.85"	207	 	
24579	Treat humerus fracture	J1	5115	"12,960.23"	166	107	"9,567.12"	208	 	
27438	Revise kneecap with implant	J1	5115	"12,960.23"	314	293	"9,188.95"	209	 	
C9757	Spine device implant surgery	J1	5115	"12,960.23"	46	17	"9,004.01"	210	 	
24575	Treat humerus fracture	J1	5115	"12,960.23"	58	35	"8,498.59"	211	 	
25365	Revise radius & ulna	J1	5115	"12,960.23"	5	3	"7,702.13"	212	 	
24346	Reconstruct elbow med ligmnt	J1	5115	"12,960.23"	14	2	"7,206.25"	213	 	
0737T	Xenograft impltj artclr surf	J1	5115	"12,960.23"	2	1	"4,916.24"	214	 	
33288	Rmv&rplcmt phrnc nrv stim ld	J1	5463	"12,573.73"	0	14	"21,589.11"	215	 	
64569	Revise/repl vagus n eltrd	J1	5463	"12,573.73"	91	48	"18,675.17"	216	 	
0426T	Insj/rplc nstim apnea stm ld	J1	5463	"12,573.73"	0	2	"17,035.23"	217	YES	
61715	Mrgfus strtctc ablt trgt icr	J1	5463	"12,573.73"	0	616	"14,759.52"	218	 	
43647	Lap impl electrode antrum	J1	5463	"12,573.73"	89	9	"14,403.64"	219	 	
64575	Opn impltj nea perph nerve	J1	5463	"12,573.73"	106	22	"13,154.81"	220	 	
0675T	Laps insj nw/rpcmt isdss 1ld	J1	5463	"12,573.73"	1	0	"12,573.73"	221	 	
0784T	Ins/rplmt eltrd ra spi nstim	J1	5463	"12,573.73"	0	0	"12,573.73"	222	 	
64596	Ins/rplcmt prq eltrd ra pn 1	J1	5463	"12,573.73"	0	0	"12,573.73"	223	 	
0398T	Mrgfus strtctc les abltj	J1	5463	"12,573.73"	0	558	"11,398.11"	224	YES	
64553	Implant neuroelectrodes	J1	5463	"12,573.73"	64	23	"10,415.58"	225	 	
63664	Revise spine eltrd plate	J1	5463	"12,573.73"	321	91	"10,194.38"	226	 	
61888	Revise/remove neuroreceiver	J1	5463	"12,573.73"	250	169	"10,113.95"	227	 	
64583	Rev/rplct hpglsl nstm ary pg	J1	5463	"12,573.73"	51	43	"9,244.82"	228	 	
0618T	Insj iris prosth sec io lens	J1	5496	"10,986.92"	10	4	"20,639.91"	229	YES	
66683	Implantation iris prosthesis	J1	5496	"10,986.92"	0	0	"10,986.92"	230	 	
0616T	Insertion of iris prosthesis	J1	5496	"10,986.92"	0	5	"10,030.33"	231	YES	
0617T	Insj iris prosth w/rmvl&insj	J1	5496	"10,986.92"	7	5	"9,021.18"	232	YES	
0308T	Insj ocular telescope prosth	J1	5496	"10,986.92"	4	1	"3,727.48"	233	 	
33214	Upgrade of pacemaker system	J1	5223	"10,732.79"	143	121	"13,978.01"	234	 	
33206	Insert heart pm atrial	J1	5223	"10,732.79"	651	597	"13,153.89"	235	 	
33208	Insrt heart pm atrial & vent	J1	5223	"10,732.79"	"40,558"	"37,468"	"11,703.45"	236	 	
33207	Insert heart pm ventricular	J1	5223	"10,732.79"	"5,232"	"4,082"	"11,502.11"	237	 	
33224	Insert pacing lead & connect	J1	5223	"10,732.79"	457	325	"10,960.49"	238	 	
0304T	Icar ischm mntrng sys device	J1	5223	"10,732.79"	0	0	"10,732.79"	239	YES	
0516T	Insj wcs lv eltrd only	J1	5223	"10,732.79"	0	0	"10,732.79"	240	 	
0517T	Insj wcs lv both compnt pg	J1	5223	"10,732.79"	0	0	"10,732.79"	241	 	
0520T	Rmv&rplcmt pg wcs lv battery	J1	5223	"10,732.79"	0	0	"10,732.79"	242	 	
C9750	Ins/rem-replace compl iims	J1	5223	"10,732.79"	0	0	"10,732.79"	243	YES	
33213	Insert pulse gen dual leads	J1	5223	"10,732.79"	279	266	"10,264.83"	244	 	
33228	Remv&replc pm gen dual lead	J1	5223	"10,732.79"	"27,070"	"26,783"	"9,357.72"	245	 	
0519T	Rmv&rplcmt pg wcs lv both	J1	5223	"10,732.79"	4	4	"2,949.77"	246	 	
0505T	Ev fempop artl revsc	J1	5193	"10,662.88"	41	29	"20,259.10"	247	 	
61623	Endovasc tempory vessel occl	J1	5193	"10,662.88"	45	37	"15,802.22"	248	 	
61626	Transcath occlusion non-cns	J1	5193	"10,662.88"	221	75	"14,708.40"	249	 	
92924	Prq card angio/athrect 1 art	J1	5193	"10,662.88"	725	175	"14,707.19"	250	 	
37244	Vasc embolize/occlude bleed	J1	5193	"10,662.88"	754	532	"14,528.19"	251	 	
92987	Revision of mitral valve	J1	5193	"10,662.88"	48	34	"14,264.14"	252	 	
C9772	Revasc lithotrip tibi/perone	J1	5193	"10,662.88"	549	193	"13,352.53"	253	 	
37187	Venous mech thrombectomy	J1	5193	"10,662.88"	"1,183"	279	"13,347.13"	254	 	
C9764	Revasc intravasc lithotripsy	J1	5193	"10,662.88"	"2,676"	"1,444"	"13,300.85"	255	 	
33903	Perq p-art revsc 1 abnor bi	J1	5193	"10,662.88"	2	2	"13,262.22"	256	 	
37226	Fem/popl revasc w/stent	J1	5193	"10,662.88"	"6,694"	"4,290"	"13,242.70"	257	 	
37243	Vasc embolize/occlude organ	J1	5193	"10,662.88"	"11,026"	"10,429"	"12,563.83"	258	 	
37241	Vasc embolize/occlude venous	J1	5193	"10,662.88"	614	409	"12,513.27"	259	 	
0237T	Trluml perip athrc brchiocph	J1	5193	"10,662.88"	19	6	"12,238.07"	260	 	
37238	Open/perq place stent same	J1	5193	"10,662.88"	"2,583"	"1,045"	"11,966.01"	261	 	
92943	Prq card revasc chronic 1vsl	J1	5193	"10,662.88"	"1,115"	425	"11,702.38"	262	 	
92928	Prq card stent w/angio 1 vsl	J1	5193	"10,662.88"	"4,368"	559	"11,052.46"	263	 	
37236	Open/perq place stent 1st	J1	5193	"10,662.88"	"4,478"	"3,619"	"10,927.71"	264	 	
37221	Iliac revasc w/stent	J1	5193	"10,662.88"	"6,945"	"2,758"	"10,858.87"	265	 	
0236T	Trluml perip athrc abd aorta	J1	5193	"10,662.88"	4	0	"10,662.88"	266	 	
0234T	Trluml perip athrc renal art	J1	5193	"10,662.88"	2	0	"10,662.88"	267	 	
33901	Perq p-art revsc 1 nm nt bi	J1	5193	"10,662.88"	0	0	"10,662.88"	268	 	
36903	Intro cath dialysis circuit	J1	5193	"10,662.88"	"3,102"	"2,838"	"9,772.90"	269	 	
92997	Pul art balloon repr percut	J1	5193	"10,662.88"	256	96	"9,623.80"	270	 	
C9600	Perc drug-el cor stent sing	J1	5193	"10,662.88"	"94,743"	"12,282"	"9,572.26"	271	 	
C9783	Blind cor sinus reducer impl	J1	5193	"10,662.88"	6	6	"9,136.28"	272	 	
