	"Data Addendum B.-Data Status Indicators, Data APC Assignments, and Data Comment Indicators Used in the Development of the Geometric Mean Costs for HCPCS codes and APCs for CY 2025"						
00145	Anesth vitreoretinal surg	N					
00147	Anesth iridectomy	N					
00148	Anesth eye exam	N					
0014A	Fee covid-19 vac 2 res	E1		DA24			
0014F	Comp preop assess cat surg	E1		NI8			
0014M	Liver ds alys 3 bmrk srm alg	N		PD24			
0014U	Hem hmtlmf neo gene reargmt	A		DO22			
0015F	Melan follow-up complete	E1		NI8			
0015M	Adrnl cortcl tum bchm asy 25	N		NO20			
00160	Anesth nose/sinus surgery	N					
00162	Anesth nose/sinus surgery	N					
00164	Anesth biopsy of nose	N					
0016M	Onc bladder mrna 219 gen alg	A		NO20			
0016U	Onc hmtlmf neo rna bcr/abl1	A		NP18			
00170	Anesth procedure on mouth	N					
00172	Anesth cleft palate repair	N					
00174	Anesth pharyngeal surgery	N					
00176	Anesth pharyngeal surgery	C					
0017M	Onc dlbcl mrna 20 genes alg	A		NI21			
0017U	Onc hmtlmf neo jak2 mut dna	A		NP18			
0018M	Trnsplj rnl meas cd154+cll	N		NO21			
0018U	Onc thyr 10 microrna seq alg	A		NI18			
00190	Anesth face/skull bone surg	N					
00192	Anesth facial bone surgery	C		CP22			
0019M	Cv ds plasma alys prtn bmrk	N		NO23			
0019U	Onc rna tiss predict alg	A		NI18			
0020M	Onc cns alys 30000 dna loci	A		NI25			
0020U	Rx test prsmv ur w/def conf	N		D19			
00210	Anesth cranial surg nos	N					
00211	Anesth cran surg hemotoma	C		NI9			
00212	Anesth skull drainage	N					
00214	Anesth skull drainage	C					
00215	Anesth skull repair/fract	C					
00216	Anesth head vessel surgery	N					
00218	Anesth special head surgery	N					
0021A	Adm sarscov2 5x1010vp/.5ml 1	E1		D24			
0021U	Onc prst8 detcj 8 autoantb	N		NI18			
00220	Anesth intrcrn nerve	N					
00222	Anesth head nerve surgery	N					
0022A	Adm sarscov2 5x1010vp/.5ml 2	E1		D24			
0022U	Trgt gen seq dna&rna 1-23 gn	A		NI18			
0023A	Fee covid-19 vac 3 booster	E1		DA24			
0023U	Onc aml dna detcj/nondetcj	A		NI18			
0024A	Fee covid-19 vac 3 res	E1		DA24			
0024U	Glyca nuc mr spectrsc quan	N		NA18			
0025U	Tenofovir liq chrom ur quan	N		NA18			
0026U	Onc thyr dna&mrna 112 genes	A		NA18			
0027U	Jak2 gene trgt seq alys	A		NA18			
0028U	Cyp2d6 gene cpy nmr cmn vrnt	A		D19			
0029U	Rx metab advrs trgt seq alys	A		NA18			
00300	Anesth head/neck/ptrunk	N					
0030U	Rx metab warf trgt seq alys	A		NA18			
0031A	Adm sarscov2 vac ad26 .5ml	E1		D24			
0031U	Cyp1a2 gene	A		NA18			
00320	Anesth neck organ 1yr/>	N					
00322	Anesth biopsy of thyroid	N					
00326	Anesth larynx/trach < 1 yr	N					
0032A	Fee covid-19 vac 4 dose 2	E1		DA24			
0032U	Comt gene	A		NA18			
0033A	Fee covid-19 vac 4 booster	E1		DA24			
0033U	Htr2a htr2c genes	A		NA18			
0034A	Adm sarscov2 vac ad26 .5ml b	E1		D24			
0034U	Tpmt nudt15 genes	A		NA18			
00350	Anesth neck vessel surgery	N					
00352	Anesth neck vessel surgery	N					
0035U	Neuro csf prion prtn qual	N		NJ18			
0036U	Xome tum & nml spec seq alys	A		NJ18			
0037U	Trgt gen seq dna 324 genes	A		NJ18			
0038U	Vitamin d srm microsamp quan	N		NJ18			
0039U	Dna antb 2strand hi avidity	N		NJ18			
00400	Anesth skin ext/per/atrunk	N					
00402	Anesth surgery of breast	N					
00404	Anesth surgery of breast	N					
00406	Anesth surgery of breast	N					
0040U	Bcr/abl1 gene major bp quan	A		NJ18			
00410	Anesth correct heart rhythm	N					
0041A	Adm sarscov2 5mcg/0.5ml 1st	S	9397	D24 			
0041U	B brgdrferi antb 5 prtn igm	N		NJ18			
0042A	Adm sarscov2 5mcg/0.5ml 2nd	S	9398	D24 			
0042T	Ct perfusion w/contrast cbf	N					
0042U	B brgdrferi antb 12 prtn igg	N		NJ18			
0043U	Tbrf b grp antb 4 prtn igm	N		NJ18			
0044A	Adm sarscov2 5mcg/0.5ml bst	S	9398	D24 			
0044U	Tbrf b grp antb 4 prtn igg	N		NJ18			
00450	Anesth surgery of shoulder	N					
00454	Anesth collar bone biopsy	N					
0045U	Onc brst dux carc is 12 gene	A		NJ18			
0046U	Flt3 gene itd variants quan	A		NJ18			
00470	Anesth removal of rib	N					
00472	Anesth chest wall repair	N					
00474	Anesth surgery of rib	C		CP22			
0047U	Onc prst8 mrna 17 gene alg	A		NJ18			
0048U	Onc sld org neo dna 468 gene	A		NJ18			
0049U	Npm1 gene analysis quan	A		NJ18			
00500	Anesth esophageal surgery	N					
0050U	Trgt gen seq dna 194 genes	A		NJ18			
0051A	Adm sarscv2 30mcg trs-sucr 1	E1		D24			
0051T	Implant total heart system	C		PD18			
0051U	Rx mntr lc-ms/ms ur/bld 31	N		NJ18			
00520	Anesth chest procedure	N					
00522	Anesth chest lining biopsy	N					
00524	Anesth chest drainage	C					
00528	Anes mediascpy & dx thorscpy	N					
00529	Anes medscpy&thorscpy 1 lung	N					
0052A	Adm sarscv2 30mcg trs-sucr 2	E1		D24 			
0052T	Replace thrc unit hrt syst	C		PD18			
0052U	Lpoprtn bld w/5 maj classes	N		NJ18			
00530	Anesth pacemaker insertion	N					
00532	Anesth vascular access	N					
00534	Anesth cardioverter/defib	N					
00537	Anesth cardiac electrophys	N					
00539	Anesth trach-bronch reconst	N					
0053A	Adm sarscv2 30mcg trs-sucr 3	E1		D24			
0053T	Replace implantable hrt syst	C		PD18			
0053U	Onc prst8 ca fish alys 4 gen	A		DJ23			
00540	Anesth chest surgery	C					
00541	Anesth one lung ventilation	N					
00542	Anesthesia removal pleura	C					
00546	Anesth lung chest wall surg	C					
00548	Anesth trachea bronchi surg	N					
0054A	Adm sarscv2 30mcg trs-sucr b	E1		D24 			
0054T	Bone srgry cmptr fluor image	N		RA9			
0054U	Rx mntr 14+ drugs & sbsts	N		NJ18			
00550	Anesth sternal debridement	N					
0055T	Bone srgry cmptr ct/mri imag	N		RA9			
0055U	Card hrt trnspl 96 dna seq	A		NJ18			
00560	Anesth heart surg w/o pump	C					
00561	Anesth heart surg <1 yr	C					
00562	Anesth hrt surg w/pmp age 1+	C					
00563	Anesth heart surg w/arrest	N					
00566	Anesth cabg w/o pump	N					
00567	Anesth cabg w/pump	C		NI9			
0056U	Hem aml dna gene reargmt	A		DO22			
0057U	Onc sld org neo mrna 51 gene	A		DJ19			
00580	Anesth heart/lung transplnt	C					
0058T	Cryopreservation ovary tiss	N	5672	PD21			
0058U	Onc merkel cll carc srm quan	N		NJ18			
0059U	Onc merkel cll carc srm +/-	N		NJ18			
00600	Anesth spine cord surgery	N					
00604	Anesth sitting procedure	C		CP22			
0060U	Twn zyg gen seq alys chrms2	A		NJ18			
0061A	Fee covid-19 vac 7 dose 1	E1		DA24			
0061U	Tc meas 5 bmrk sfdi m-s alys	N		NJ18			
00620	Anesth spine cord surgery	N					
00625	Anes spine tranthor w/o vent	N		NI7			
00626	Anes spine transthor w/vent	N		NI7			
0062A	Fee covid-19 vac 7 dose 2	E1		DA24			
0062U	Ai sle igg&igm alys 80 bmrk	N		NO18			
00630	Anesth spine cord surgery	N					
00632	Anesth removal of nerves	C					
00635	Anesth lumbar puncture	N					
0063A	Fee covid-19 vac 7 booster	E1		DA24			
0063U	Neuro autism 32 amines alg	N		NO18			
00640	Anesth spine manipulation	N					
0064A	Adm sarscov2 50mcg/0.25mlbst	E1		D24			
0064U	Antb tp total&rpr ia qual	N		NO18			
0065U	Syfls tst nontreponemal antb	N		NO18			
0066U	Pamg-1 ia cervico-vag fluid	N		DO23			
00670	Anesth spine cord surgery	N		CF19			
0067U	Onc brst imhchem prfl 4 bmrk	A		NO18			
0068U	Candida species pnl amp prb	N		NO18			
0069U	Onc clrct microrna mir-31-3p	A		NO18			
00700	Anesth abdominal wall surg	N					
00702	Anesth for liver biopsy	N					
0070U	Cyp2d6 gen com&slct rar vrnt	A		NO18			
0071A	Adm sarscv2 10mcg trs-sucr 1	E1		D24			
0071T	Us leiomyomata ablate <200	J1	5414	CP17			
0071U	Cyp2d6 full gene sequence	A		NO18			
0072A	Adm sarscv2 10mcg trs-sucr 2	E1		D24			
0072T	Fcsd us abltj leiomyom>=200	J1	5414	CP17			
0072U	Cyp2d6 gen cyp2d6-2d7 hybrid	A		NO18			
00730	Anesth abdominal wall surg	N					
00731	Anes upr gi ndsc px nos	N		NP18			
00732	Anes upr gi ndsc px ercp	N		NP18			
0073A	Adm sarscv2 10mcg trs-sucr 3	E1		D24			
0073U	Cyp2d6 gen cyp2d7-2d6 hybrid	A		NO18			
00740	Anesth upper gi visualize	N		PD18			
0074A	Adm sarscv2 10mcg trs-sucr b	E1		D24			
0074U	Cyp2d6 nonduplicated gene	A		NO18			
00750	Anes hrna rpr upr abd nos	N					
00752	Anes hrna rpr lmbr&vnt&/dehs	N					
00754	Anes hrna rpr omphalocele	N					
00756	Anes hrna rpr diphrg hrna	N					
0075T	Perq stent/chest vert art	C					
0075U	Cyp2d6 5' gene dup/mlt	A		NO18			
0076T	S&i stent/chest vert art	C					
0076U	Cyp2d6 3' gene dup/mlt	A		NO18			
00770	Anes px maj abd blood vessel	N					
0077U	Ig paraprotein qual bld/ur	N		NO18			
0078U	Pain mgt opi use gnotyp pnl	A		DO24			
00790	Anes iper upr abd nos	N					
00792	Anes iper upr abd prtl hptc	C					
00794	Anes iper upr abd pncrtect	C					
00796	Anes iper upr abd lvr trnspl	C					
00797	Anes iper upr abd gstr px mo	N					
0079U	Cmprtv dna alys mlt snps	E1		NO18			
00800	Anesth abdominal wall surg	N					
00802	Anesth fat layer removal	N		CF20			
0080U	Onc lng 5 clin rsk factr alg	A		NA19			
00810	Anesth low intestine scope	N		PD18			
00811	Anes lwr intst ndsc nos	N		NP18			
00812	Anes lwr intst scr colsc	N		NP18			
00813	Anes upr lwr gi ndsc px	N		NP18			
0081A	Adm sarscv2 3mcg trs-sucr 1	E1		D24			
0081U	Onc uveal mlnma mrna 15 gene	A		PD20			
00820	Anesth abdominal wall surg	N					
0082A	Adm sarscv2 3mcg trs-sucr 2	E1		D24			
0082U	Rx test def 90+ rx/sbsts ur	N		NA19			
00830	Anesth repair of hernia	N					
00832	Anesth repair of hernia	N					
00834	Anesth hernia repair < 1 yr	N					
00836	Anesth hernia repair preemie	N					
0083A	Adm sarscv2 3mcg trs-sucr 3	E1		D24			
0083U	Onc rspse chemo cntrst tomog	N		NA19			
00840	Anesth surg lower abdomen	N					
00842	Anesth amniocentesis	N					
00844	Anesth pelvis surgery	C					
00846	Anesth hysterectomy	C					
00848	Anesth pelvic organ surg	C					
0084A	Fee covid-19 vac 9 res	E1		DA24			
0084U	Rbc dna gnotyp 10 bld groups	A		NJ19			
00851	Anesth tubal ligation	N					
0085T	Breath test heart reject	E1		PD21			
0085U	Cdtb&vinculin igg antb ia	N		D20			
00860	Anesth surgery of abdomen	N					
00862	Anesth kidney/ureter surg	N					
00864	Anesth removal of bladder	C					
00865	Anesth removal of prostate	N		CF20			
00866	Anesth removal of adrenal	C					
00868	Anesth kidney transplant	C					
0086U	Nfct ds bact&fng org id 6+	N		NJ19			
00870	Anesth bladder stone surg	N					
00872	Anesth kidney stone destruct	N					
00873	Anesth kidney stone destruct	N					
0087U	Crd hrt trnspl mrna 1283 gen	A		NJ19			
00880	Anesth abdomen vessel surg	N					
00882	Anesth major vein ligation	C					
0088U	Trnsplj kdn algrft rej 1494	A		NJ19			
0089U	Onc mlnma prame & linc00518	N		NJ19			
00902	Anesth anorectal surgery	N					
00904	Anesth perineal surgery	C		CP22			
00906	Anes vulvectomy	N					
00908	Anesth removal of prostate	C					
0090U	Onc cutan mlnma mrna 23 gene	A		NJ19			
00910	Anesth bladder surgery	N					
00912	Anesth bladder tumor surg	N					
00914	Anesth removal of prostate	N					
00916	Anesth bleeding control	N					
00918	Anesth stone removal	N					
0091A	Adm sarscov2 50 mcg/.5 ml1st	E1		D24			
0091U	Onc clrct scr whl bld alg	E1		NJ19			
00920	Anesth genitalia surgery	N					
00921	Anesth vasectomy	N					
00922	Anesth sperm duct surgery	N					
00924	Anesth testis exploration	N					
00926	Anesth removal of testis	N					
00928	Anesth removal of testis	N					
0092A	Adm sarscov2 50 mcg/.5 ml2nd	E1		D24			
0092U	Onc lng 3 prtn bmrk plsm alg	N		NJ19			
00930	Anesth testis suspension	N					
00932	Anesth amputation of penis	C					
00934	Anesth penis nodes removal	C					
00936	Anesth penis nodes removal	C					
00938	Anesth insert penis device	N					
0093A	Adm sarscov2 50 mcg/.5 ml3rd	E1		D24			
0093U	Rx mntr 65 com drugs urine	N		NJ19			
00940	Anesth vaginal procedures	N					
00942	Anesth surg on vag/urethral	N					
00944	Anesth vaginal hysterectomy	N		CF20			
00948	Anesth repair of cervix	N					
0094A	Adm sarscov2 50 mcg/.5 mlbst	E1		D24			
0094U	Genome rapid sequence alys	A		NJ19			
00950	Anesth vaginal endoscopy	N					
00952	Anesth hysteroscope/graph	N					
0095T	Rmvl artific disc addl crvcl	C		NI6 			
0095U	Ee 2 prtn bmrk elisa est	N		NJ19			
0096U	Hpv hi risk types male urine	N		NJ19			
0097U	Gi pathogen 22 targets	N		DA22			
0098T	Rev artific disc addl	C		NI6			
0098U	Respir pathogen 14 targets	N		DA21			
0099U	Respir pathogen 20 targets	N		DA21			
0100T	Prosth retina receive&gen	E2		NI6			
0100U	Respir pathogen 21 targets	N		DA21			
0101A	Fee covid-19 vac 11 dose 1	E1		DA24 			
0101T	Esw muscskel sys nos	T	5111	NI6			
0101U	Hered colon ca do 15 genes	A		NJ19			
0102A	Fee covid-19 vac 11 dose 2	E1		DA24 			
0102T	Esw phy anes lat hmrl epcndl	J1	5113	NI6			
0102U	Hered brst ca rltd do 17 gen	A		NJ19			
0103A	Fee covid-19 vac 11 booster	E1		DA24 			
0103U	Hered ova ca pnl 24 genes	A		NJ19			
0104A	Adm sarscov2 5mcg/.5ml as03b	E1		D24			
0104U	Hered pan ca pnl 32 genes	A		DO19			
0105U	Neph ckd mult eclia tum nec	N		NO19			
0106T	Touch quant sensory test	N	5732	NI6			
0106U	Gstr emptg 7 timed brth spec	N		NO19			
0107T	Vibrate quant sensory test	N	5732	NI6			
0107U	C diff tox ag detcj ia stool	N		NO19			
0108T	Cool quant sensory test	N	5733	NI6			
0108U	Gi barrett esoph 9 prtn bmrk	A		NO19			
0109T	Heat quant sensory test	N	5732	NI6			
0109U	Id aspergillus dna 4 species	N		NO19			
0110T	Nos quant sensory test	N	5734	NI6			
0110U	Rx mntr 1+oral onc rx&sbsts	N		NO19			
01112	Anesth bone aspirate/bx	N					
0111A	Adm sarscov2 25mcg/0.25ml1st	E1		D24			
0111T	Rbc membranes fatty acids	A		PD21			
0111U	Onc colon ca kras&nras alys	A		NO19			
01120	Anesth pelvis surgery	N					
0112A	Adm sarscov2 25mcg/0.25ml2nd	E1		D24			
0112U	Iadi 16s&18s rrna genes	A		NO19			
01130	Anesth body cast procedure	N					
0113A	Adm sarscov2 25mcg/0.25ml3rd	E1		D24			
0113U	Onc prst8 pca3&tmprss2-erg	A		NO19			
01140	Anesth amputation at pelvis	C		CP22			
0114U	Gi barretts esoph vim&ccna1	A		NO19			
01150	Anesth pelvic tumor surgery	C		CP22			
0115U	Respir iadna 18 viral&2 bact	N		NO19			
01160	Anesth pelvis procedure	N					
0116U	Rx mntr nzm ia 35+oral flu	N		NO19			
01170	Anesth pelvis surgery	N					
01173	Anesth fx repair pelvis	N					
0117U	Pain mgmt 11 endogenous anal	N		NO19			
01180	Anesth pelvis nerve removal	N		PD18			
0118U	Trnsplj don-drv cll-fr dna	A		NO19			
01190	Anesth pelvis nerve removal	N		PD18			
0119U	Crd ceramides liq chrom plsm	N		NO19			
01200	Anesth hip joint procedure	N					
01202	Anesth arthroscopy of hip	N					
0120U	Onc b cll lymphm mrna 58 gen	A		NO19			
01210	Anesth hip joint surgery	N					
01212	Anesth hip disarticulation	C		CP22			
01214	Anesth hip arthroplasty	N		CF20			
01215	Anesth revise hip repair	N					
0121A	Adm sarscv2 bvl 30mcg/.3ml 1	S 	9398	REM			
0121U	Sc dis vcam-1 whole blood	N		NO19			
01220	Anesth procedure on femur	N					
0122U	Sc dis p-selectin whl blood	N		NO19			
01230	Anesth surgery of femur	N					
01232	Anesth amputation of femur	C		CP22			
01234	Anesth radical femur surg	C		CP22			
0123U	Mchnl fragility rbc prflg	N		NO19			
0124A	Adm sarscv2 bvl 30mcg/.3ml a	S 	9398	D24			
0124U	Ftl cgen abnor 3 analtyes	E1		DJ20			
01250	Anesth upper leg surgery	N					
0125U	Ftl cgen abnor prnt comp 5	N		DJ20			
01260	Anesth upper leg veins surg	N					
0126T	Chd risk imt study	N	5731	PD21			
0126U	Ftl cgen abnor prnt comp 5 y	N		DJ20			
01270	Anesth thigh arteries surg	N					
01272	Anesth femoral artery surg	C					
01274	Anesth femoral embolectomy	C		CP22			
0127U	Ob pe 3 analytes	N		DJ20			
0128U	Ob pe 3 analytes y chrmsm	N		DJ20			
0129U	Hered brst ca rltd do panel	A		NO19			
0130U	Hered colon ca do mrna pnl	A		NO19			
0131U	Hered brst ca rltd do pnl 13	A		NO19			
01320	Anesth knee area surgery	N					
0132U	Hered ova ca rltd do pnl 17	A		NO19			
0133U	Hered prst8 ca rltd do 11	A		NO19			
01340	Anesth knee area procedure	N					
0134A	Adm sarscv2 bvl 50mcg/.5ml a	S 	9398	D24			
0134U	Hered pan ca mrna pnl 18 gen	A		NO19			
0135U	Hered gyn ca mrna pnl 12 gen	A		NO19			
01360	Anesth knee area surgery	N					
0136U	Atm mrna seq alys	A		NO19			
0137U	Palb2 mrna seq alys	A		NO19			
01380	Anesth knee joint procedure	N					
01382	Anesth dx knee arthroscopy	N					
0138U	Brca1 brca2 mrna seq alys	A		NO19			
01390	Anesth knee area procedure	N					
01392	Anesth knee area surgery	N					
0139U	Neuro austm meas 6 c metablt	N		DO21			
01400	Anesth knee joint surgery	N					
01402	Anesth knee arthroplasty	N		CP19			
01404	Anesth amputation at knee	C		CP22			
0140U	Nfct ds fungi dna 15 trgt	N		NI20			
0141A	Adm srscv2 bvl 25mcg/.25ml 1	S	9397	REM			
0141U	Nfct ds bact&fng gram pos	N		NI20			
01420	Anesth knee joint casting	N					
0142A	Adm srscv2 bvl 25mcg/.25ml 2	S	9398	REM			
0142U	Nfct ds bact&fng gram neg	N		NI20			
01430	Anesth knee veins surgery	N					
01432	Anesth knee vessel surg	N					
0143U	Drug assay 120+ rx/metablt	N		DJ23			
01440	Anesth knee arteries surg	N					
01442	Anesth knee artery surg	C					
01444	Anesth knee artery repair	C					
0144A	Adm srscv2 bvl 25mcg/.25ml a	S	9398	D24			
0144U	Drug assay 160+ rx/metablt	N		DJ23			
0145U	Drug assay 65+ rx/metablt	N		DJ23			
01462	Anesth lower leg procedure	N					
01464	Anesth ankle/ft arthroscopy	N					
0146U	Drug assay 80+ rx/metablt	N		DJ23			
01470	Anesth lower leg surgery	N					
01472	Anesth achilles tendon surg	N					
01474	Anesth lower leg surgery	N					
0147U	Drug assay 85+ rx/metablt	N		DJ23			
01480	Anesth lower leg bone surg	N					
01482	Anesth radical leg surgery	N					
01484	Anesth lower leg revision	N					
01486	Anesth ankle replacement	N		CF22			
0148U	Drug assay 100+ rx/metablt	N		DJ23			
01490	Anesth lower leg casting	N					
0149U	Drug assay 60+ rx/metablt	N		DJ23			
01500	Anesth leg arteries surg	N					
01502	Anesth lwr leg embolectomy	C					
0150U	Drug assay 120+ rx/metablt	N		DJ23			
0151A	Adm sarscv2 bvl 10mcg/.2ml 1	S 	9398	REM 			
0151U	Nfct bct/vir resp nfctj 33	N		DA22			
01520	Anesth lower leg vein surg	N					
01522	Anesth lower leg vein surg	N					
0152U	Nfct ds dna untrgt ngnrj seq	N		NI20			
0153U	Onc breast mrna 101 genes	A		NI20			
0154A	Adm sarscv2 bvl 10mcg/.2ml a	S	9398	D24			
0154U	Onc urthl ca rna fgfr3 gene	A		NI20			
0155U	Onc brst ca dna pik3ca gene	A		NI20			
0156U	Copy number sequence alys	A		NI20			
0157U	Apc mrna seq alys	A  		NI20			
0158U	Mlh1 mrna seq alys	A 		NI20			
0159T	Cad breast mri	N		PD19			
0159U	Msh2 mrna seq alys	A  		NI20			
0160U	Msh6 mrna seq alys	A 		NI20			
01610	Anesth surgery of shoulder	N					
0161U	Pms2 mrna seq alys	A 		NI20			
01620	Anesth shoulder procedure	N					
01622	Anes dx shoulder arthroscopy	N					
0162U	Hered colon ca trgt mrna pnl	A  		NI20			
01630	Anesth surgery of shoulder	N					
01634	Anesth shoulder joint amput	C		CP22			
01636	Anesth forequarter amput	C		CP22			
01638	Anesth shoulder replacement	N		CF22			
0163T	Tot disc arthrp ea addl lmbr	C		PD23			
0163U	Onc clrct scr 3 prtn alg	E1		NA20			
0164A	Adm srscv2 bvl 10mcg/0.2ml a	S	9398	D24			
0164T	Remove lumb artif disc addl	C		NI7			
0164U	Gi ibs ia anti-cdtb&vinculin	N		NA20			
01650	Anesth shoulder artery surg	N					
01652	Anesth shoulder vessel surg	C					
01654	Anesth shoulder vessel surg	C					
01656	Anesth arm-leg vessel surg	C					
0165T	Revise lumb artif disc addl	C		NI7			
0165U	Peanut allg asmt epi	N		NA20			
0166U	Liver ds 10 biochem asy srm	N		NA20			
01670	Anesth shoulder vein surg	N					
0167U	Chornc gonadotropin hcg ia	N		DO24			
01680	Anesth shoulder casting	N					
01682	Anesth airplane cast	N		PD18			
0168U	Ftl aneuploidy dna seq alys	N		DO21			
0169U	Nudt15&tpmt gene com vrnt	A		NA20			
0170U	Neuro asd rna next gen seq	A		NA20			
01710	Anesth elbow area surgery	N					
01712	Anesth uppr arm tendon surg	N					
01714	Anesth uppr arm tendon surg	N					
01716	Anesth biceps tendon repair	N					
0171A	Adm sarscv2 bvl 3mcg/0.2ml 1	S 	9397	REM 			
0171U	Trgt gen seq alys pnl dna 23	A		NA20			
0172A	Adm sarscv2 bvl 3mcg/0.2ml 2	S 	9398	REM 			
0172U	Onc sld tum alys brca1 brca2	A		NJ20			
01730	Anesth uppr arm procedure	N					
01732	Anesth dx elbow arthroscopy	N					
0173A	Adm sarscv2 bvl 3mcg/0.2ml 3	S 	9398	REM			
0173U	Psyc gen alys panel 14 genes	A		NJ20			
01740	Anesth upper arm surgery	N					
01742	Anesth humerus surgery	N					
01744	Anesth humerus repair	N					
0174A	Adm sarscv2 bvl 3mcg/0.2ml a	S 	9398	REM			
0174T	Cad cxr with interp	N		NI7			
0174U	Onc solid tumor 30 prtn trgt	N		NJ20			
01756	Anesth radical humerus surg	C		CP22			
01758	Anesth humeral lesion surg	N					
0175T	Cad cxr remote	N		NI7			
0175U	Psyc gen alys panel 15 genes	A		NJ20			
01760	Anesth elbow replacement	N					
0176U	Cdtb&vinculin igg antb ia	N		NJ20			
01770	Anesth uppr arm artery surg	N					
01772	Anesth uppr arm embolectomy	N					
0177U	Onc brst ca dna pik3ca 11	A		NJ20			
01780	Anesth upper arm vein surg	N					
01782	Anesth uppr arm vein repair	N					
0178T	64 lead ecg w/i&r	B		PD18			
0178U	Peanut allg asmt epi clin rx	N		NJ20			
0179T	64 lead ecg w/tracing	N	5732	PD18			
0179U	Onc nonsm cll lng ca alys 23	A		NJ20			
0180T	64 lead ecg w/i&r only	B		PD18			
0180U	Abo gnotyp abo 7 exons	A		NJ20			
01810	Anesth lower arm surgery	N					
0181U	Co gnotyp aqp1 exon 1	A		NJ20			
01820	Anesth lower arm procedure	N					
01829	Anesth dx wrist arthroscopy	N					
0182U	Crom gnotyp cd55 exons 1-10	A		NJ20			
01830	Anesth lower arm surgery	N					
01832	Anesth wrist replacement	N					
0183U	Di gnotyp slc4a1 exon 19	A		NJ20			
01840	Anesth lwr arm artery surg	N					
01842	Anesth lwr arm embolectomy	N					
01844	Anesth vascular shunt surg	N					
0184T	Exc rectal tumor endoscopic	J1	5331	NI8			
0184U	Do gnotyp art4 exon 2	A		NJ20			
01850	Anesth lower arm vein surg	N					
01852	Anesth lwr arm vein repair	N					
0185U	Fut1 gnotyp fut1 exon 4	A		NJ20			
01860	Anesth lower arm casting	N					
0186U	Fut2 gnotyp fut2 exon 2	A		NJ20			
0187U	Fy gnotyp ackr1 exons 1-2	A		NJ20			
0188T	Videoconf crit care 74 min	M		PD19			
0188U	Ge gnotyp gypc exons 1-4	A		NJ20			
0189T	Videoconf crit care addl 30	M		PD19			
0189U	Gypa gnotyp ntrns 1 5 exon 2	A		NJ20			
0190T	Place intraoc radiation src	N		PD19			
0190U	Gypb gnotyp ntrns 1 5 seux 3	A		NJ20			
01916	Anesth dx arteriography	N					
0191T	Insert ant segment drain int	J1	5493	PD22			
0191U	In gnotyp cd44 exons 2 3 6	A		NJ20			
01920	Anesth catheterize heart	N					
01922	Anesth cat or mri scan	N					
01924	Anes ther interven rad artrl	N					
01925	Anes ther interven rad card	N					
01926	Anes tx interv rad hrt/cran	N					
0192U	Jk gnotyp slc14a1 exon 9	A		NJ20			
01930	Anes ther interven rad vein	N					
01931	Anes ther interven rad tips	N					
01932	Anes tx interv rad th vein	N					
01933	Anes tx interv rad cran vein	N					
